INFO | 
DEBUG |     epoch :  4/100   iteration :  480/ 793   loss : 5.07577
DEBUG |     epoch :  4/100   iteration :  490/ 793   loss : 5.94041
DEBUG |     epoch :  4/100   iteration :  500/ 793   loss : 5.41146
DEBUG |     epoch :  4/100   iteration :  510/ 793   loss : 5.27303
DEBUG |     epoch :  4/100   iteration :  520/ 793   loss : 5.63774
DEBUG |     epoch :  4/100   iteration :  530/ 793   loss : 5.28063
DEBUG |     epoch :  4/100   iteration :  540/ 793   loss : 5.26152
DEBUG |     epoch :  4/100   iteration :  550/ 793   loss : 5.89105
DEBUG |     epoch :  4/100   iteration :  560/ 793   loss : 5.59185
DEBUG |     epoch :  4/100   iteration :  570/ 793   loss : 5.14884
DEBUG |     epoch :  4/100   iteration :  580/ 793   loss : 5.86409
DEBUG |     epoch :  4/100   iteration :  590/ 793   loss : 5.63984
DEBUG |     epoch :  4/100   iteration :  600/ 793   loss : 5.64102
DEBUG |     epoch :  4/100   iteration :  610/ 793   loss : 5.54658
DEBUG |     epoch :  4/100   iteration :  620/ 793   loss : 5.31912
DEBUG |     epoch :  4/100   iteration :  630/ 793   loss : 5.33530
DEBUG |     epoch :  4/100   iteration :  640/ 793   loss : 5.85777
DEBUG |     epoch :  4/100   iteration :  650/ 793   loss : 5.71983
DEBUG |     epoch :  4/100   iteration :  660/ 793   loss : 5.12588
DEBUG |     epoch :  4/100   iteration :  670/ 793   loss : 6.46827
DEBUG |     epoch :  4/100   iteration :  680/ 793   loss : 5.59875
DEBUG |     epoch :  4/100   iteration :  690/ 793   loss : 5.42806
DEBUG |     epoch :  4/100   iteration :  700/ 793   loss : 5.16840
DEBUG |     epoch :  4/100   iteration :  710/ 793   loss : 5.73960
DEBUG |     epoch :  4/100   iteration :  720/ 793   loss : 5.36877
DEBUG |     epoch :  4/100   iteration :  730/ 793   loss : 5.38106
DEBUG |     epoch :  4/100   iteration :  740/ 793   loss : 5.63854
DEBUG |     epoch :  4/100   iteration :  750/ 793   loss : 5.94842
DEBUG |     epoch :  4/100   iteration :  760/ 793   loss : 5.80263
DEBUG |     epoch :  4/100   iteration :  770/ 793   loss : 5.48563
DEBUG |     epoch :  4/100   iteration :  780/ 793   loss : 5.55060
DEBUG |     epoch :  4/100   iteration :  790/ 793   loss : 5.76806
INFO |     epoch 4/100 done | avg.loss : 5.51360
DEBUG |     epoch :  5/100   iteration :   10/ 793   loss : 5.55097
DEBUG |     epoch :  5/100   iteration :   20/ 793   loss : 5.27581
DEBUG |     epoch :  5/100   iteration :   30/ 793   loss : 5.13207
DEBUG |     epoch :  5/100   iteration :   40/ 793   loss : 5.56994
DEBUG |     epoch :  5/100   iteration :   50/ 793   loss : 5.52208
DEBUG |     epoch :  5/100   iteration :   60/ 793   loss : 5.50781
DEBUG |     epoch :  5/100   iteration :   70/ 793   loss : 5.23914
DEBUG |     epoch :  5/100   iteration :   80/ 793   loss : 5.40225
DEBUG |     epoch :  5/100   iteration :   90/ 793   loss : 5.53079
DEBUG |     epoch :  5/100   iteration :  100/ 793   loss : 5.09881
DEBUG |     epoch :  5/100   iteration :  110/ 793   loss : 5.20426
DEBUG |     epoch :  5/100   iteration :  120/ 793   loss : 5.19418
DEBUG |     epoch :  5/100   iteration :  130/ 793   loss : 5.48028
DEBUG |     epoch :  5/100   iteration :  140/ 793   loss : 5.58226
DEBUG |     epoch :  5/100   iteration :  150/ 793   loss : 5.44845
DEBUG |     epoch :  5/100   iteration :  160/ 793   loss : 5.41778
DEBUG |     epoch :  5/100   iteration :  170/ 793   loss : 5.56092
DEBUG |     epoch :  5/100   iteration :  180/ 793   loss : 5.51904
DEBUG |     epoch :  5/100   iteration :  190/ 793   loss : 5.18691
DEBUG |     epoch :  5/100   iteration :  200/ 793   loss : 5.26095
DEBUG |     epoch :  5/100   iteration :  210/ 793   loss : 5.18924
DEBUG |     epoch :  5/100   iteration :  220/ 793   loss : 5.01396
DEBUG |     epoch :  5/100   iteration :  230/ 793   loss : 5.34899
DEBUG |     epoch :  5/100   iteration :  240/ 793   loss : 5.25906
DEBUG |     epoch :  5/100   iteration :  250/ 793   loss : 5.12785
DEBUG |     epoch :  5/100   iteration :  260/ 793   loss : 5.60299
DEBUG |     epoch :  5/100   iteration :  270/ 793   loss : 5.59837
DEBUG |     epoch :  5/100   iteration :  280/ 793   loss : 5.22749
DEBUG |     epoch :  5/100   iteration :  290/ 793   loss : 5.51227
